"Родительская задача","Название","Описание","Чек-лист"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-07-04 [2.7 Отключение (приостановление) услуг] Отмена задания при оплате и выявление расхождений [ТЗ 4.2.3.5]","Отмена специалистом до фактического отключения с проверкой статуса у поставщика и уведомлением поставщика; ночная сверка: «долг погашен — услуга отключена» → уведомление/задание ответственному.

Пункт ТЗ: 4.2.3.5
Требования ТЗ: FR-EVT-08, UC-EVT-04, EVT-T-08
Пакет работ: 2.7 Отключение (приостановление) услуг
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Отмена при оплате»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf","UC-EVT-04: отмена задания за час до отключения
Расхождение формирует задание на проверку
EVT-T-08 пройден"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-08-01 [2.8 Модуль «Задания»] Реестр заданий: список, канбан по статусам, календарь [ТЗ 4.2.6.2]","Поля: тип, связанный объект, постановщик, исполнитель, срок, приоритет, статус (Новое, В работе, На проверке, Выполнено, Просрочено, Отменено), описание, комментарии, вложения. По умолчанию пользователь видит свои задания. Групповые операции: переназначение, смена срока, отмена.

Пункт ТЗ: 4.2.6.2
Пакет работ: 2.8 Модуль «Задания»
Фаза: Фаза 6. Задания — пункт чек-листа «Реестр заданий»
Макеты/артефакты:
- UI макеты/15_Реестр заданий.png
- UI макеты/09_Календарь мероприятий (все группы).png
- Совещания/20 июля замечания.pdf","Три представления работают с универсальным фильтром
Массовое переназначение и отмена работают
Специалист по умолчанию видит только назначенные ему задания"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-08-02 [2.8 Модуль «Задания»] Ручное создание и переназначение заданий [ТЗ 4.2.6.3]","Создание с исполнителем (пользователь или роль), сроком, приоритетом, привязкой к ЛС/договору/должнику; переназначение руководителем или исполнителем с обязательным комментарием.

Пункт ТЗ: 4.2.6.3
Требования ТЗ: FR-TSK-01, TSK-T-01
Пакет работ: 2.8 Модуль «Задания»
Фаза: Фаза 6. Задания — пункт чек-листа «Ручные задания»
Макеты/артефакты:
- UI макеты/15_Реестр заданий.png","Исполнитель получает уведомление о новом задании
Переназначение без комментария невозможно
TSK-T-01 пройден"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-08-03 [2.8 Модуль «Задания»] Автоматическое формирование заданий [ТЗ 4.2.6.4]","Генерация заданий по правилам сценария: ручное действие (позвонить вручную), срок согласования (отключение, списание), истёк срок ответа внешней организации, расхождение при синхронизации.

Пункт ТЗ: 4.2.6.4
Требования ТЗ: FR-TSK-02, TSK-T-02
Пакет работ: 2.8 Модуль «Задания»
Фаза: Фаза 6. Задания — пункт чек-листа «Автозадания»
Макеты/артефакты:
- UI макеты/15_Реестр заданий.png
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","Каждый из 4 типовых случаев создаёт задание ответственному
Задание связано с исходным сценарием/проверкой
TSK-T-02 пройден"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-08-04 [2.8 Модуль «Задания»] Оповещения о сроках и эскалация просроченных заданий [ТЗ 4.2.6.5]","Уведомления о новом задании, приближении срока, просрочке; дубль критичных по e-mail (личная настройка); ежедневная эскалация руководителю или должностному лицу, настраиваемому локальным администратором.

Пункт ТЗ: 4.2.6.5
Требования ТЗ: FR-TSK-04, TSK-T-04
Пакет работ: 2.8 Модуль «Задания»
Фаза: Фаза 6. Задания — пункт чек-листа «Сроки и эскалация»
Макеты/артефакты:
- UI макеты/15_Реестр заданий.png","Эскалация срабатывает по настроенному порогу
Пользователь может отключить e-mail-дубли в личных настройках
TSK-T-04 пройден"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-01 [2.9 Конструктор сценариев (триггеры и действия)] Библиотека действий (задач) сценария [ТЗ 4.2.5.2]","Типовые действия: автообзвон, e-mail, SMS, предупреждение, отключение, исполнительная надпись, иск, ручной звонок, загрузка документа, смена статуса/этапа карточки (движение по канбану, вывод из воронки при оплате), создание задания. Параметры: расписание, шаблон, критерии отбора ЛС, требование согласования, разрешение ручного завершения. Дублирование действия с изменением триггера.

Пункт ТЗ: 4.2.5.2
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Библиотека действий»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png
- canvases/scenario-constructor.canvas.tsx
- Совещания/20 июля замечания.pdf","Действие «смена статуса карточки» доступно в библиотеке
Дублирование действия создаёт копию с редактируемым триггером
Для каждого действия задаются параметры без кода"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-02 [2.9 Конструктор сценариев (триггеры и действия)] Библиотека триггеров и блокеров с логикой И/ИЛИ [ТЗ 4.2.5.2, Глоссарий «Триггер»]","Триггеры: по времени/календарю, по сроку от старта/завершения другого действия, по событию (старт, завершение, статус другого действия или группы действий), по данным (оплата, группа, категория, ФЛ/ЮЛ, наличие телефона), согласование. Блокеры «не может стартовать, пока…» (not started / not finished). Динамическое добавление условий с операторами И/ИЛИ — как в фильтре.

Пункт ТЗ: 4.2.5.2, Глоссарий «Триггер»
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Триггеры и блокеры»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png
- Совещания/20 июля замечания.pdf
- Совещания/замечания 17 июля кратко.docx
- Совещания/17 июля.pdf","Комбинация «обзвон завершён И оплата не поступила» переводит карточку на следующий этап
Блокер не даёт стартовать действию до выполнения условия
Триггеры визуально отделены от действий"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-03 [2.9 Конструктор сценариев (триггеры и действия)] Визуальный редактор сценария с ветвлением [ТЗ 4.2.5.2]","Холст «условие → действие» с переходами, ветвление по группе задолженности, категории, типу организации, ФЛ/ЮЛ, наличию контакта; параллельные и последовательные ветки; приостановка/возобновление сценария по конкретному ЛС с причиной.

Пункт ТЗ: 4.2.5.2
Требования ТЗ: FR-CFG-01, UC-CFG-01, CFG-T-01
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Редактор сценариев»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png
- canvases/scenario-constructor.canvas.tsx","Контрольный пример с ветвлением по группе проходит (CFG-T-01)
Приостановка сценария по ЛС сохраняет причину и историю
Интерфейс доступен только администраторам"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-04 [2.9 Конструктор сценариев (триггеры и действия)] Валидация и версионирование сценариев [ТЗ 4.2.5.2]","Проверка тупиков (шаг без выхода, кроме терминальных) и конфликтов; версии с автором и временем; запущенные мероприятия остаются на своей версии, если администратор явно не выбрал иное; откат.

Пункт ТЗ: 4.2.5.2
Требования ТЗ: FR-CFG-02, CFG-T-02
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Валидация сценариев»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png","Сохранение сценария с тупиком блокируется с указанием шага
Изменение активного сценария не затрагивает запущенные мероприятия по умолчанию
CFG-T-02 пройден"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-05 [2.9 Конструктор сценариев (триггеры и действия)] Движок исполнения сценариев [ТЗ 4.2.5, 4.2.1.5]","Сервис, назначающий сценарии ЛС/договорам по группе конкретной услуги, рейтингу, типу контрагента; вычисляет триггеры по расписанию и событиям шины, создаёт мероприятия и задания, двигает карточки по этапам; учитывает флаг «наследственное дело» и приостановки.

Пункт ТЗ: 4.2.5, 4.2.1.5
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Движок сценариев»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Основные документы/План реализации проекта ЕРИП.docx","Автоназначение сценария при смене группы работает по услуге, а не по «старшей» группе должника
Повторный запуск движка не создаёт дубли мероприятий
Нагрузочный прогон на 100 тыс. ЛС укладывается в регламентное окно"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-09-06 [2.9 Конструктор сценариев (триггеры и действия)] Модель управления сценариями и базовые сценарии SC-BASE [ТЗ 4.2.5.3, Приложение 1 ТЗ v1.1]","Смешанная модель: базовые сценарии — централизованно (суперадмин), локальные модификации (расписание, приоритеты) — администратор организации в рамках ограничений; законодательно жёсткие шаги защищены. Поставить 2–4 стартовых сценария: стандартное взыскание ФЛ, ЮЛ без обзвона, госфонд без отключения, особые обстоятельства (без юридических шагов — они добавляются в MVP-3).

Пункт ТЗ: 4.2.5.3, Приложение 1 ТЗ v1.1
Пакет работ: 2.9 Конструктор сценариев (триггеры и действия)
Фаза: Фаза 5. Конструкторы — пункт чек-листа «Базовые сценарии»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png
- Основные документы/План реализации проекта ЕРИП.docx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Локальный админ копирует базовый сценарий и меняет сроки (UC-CFG-01)
Защищённые шаги нельзя удалить локально
Стартовые сценарии согласованы с методологами Заказчика"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-10-01 [2.10 Сквозная автоматика при оплате и обратная выгрузка] Автоматическое закрытие мероприятий и снятие статуса «должник» при оплате [ТЗ 4.2.1.8, 4.2.3.5]","При остатке ≤ настраиваемого порога (0 или 0,01 руб.) по услуге/договору: отмена сценария и частных мероприятий по погашенным услугам, отмена задания поставщику с уведомлением, вывод карточки из воронки/перевод в «Не должник».

Пункт ТЗ: 4.2.1.8, 4.2.3.5
Требования ТЗ: FR-DEBT-08, FR-EVT-09, UC-DEBT-05, DEBT-T-08, EVT-T-09
Пакет работ: 2.10 Сквозная автоматика при оплате и обратная выгрузка
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Снятие мер при оплате»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Основные документы/План реализации проекта ЕРИП.docx","UC-DEBT-05: после ночной синхронизации активные мероприятия закрыты
Частичная оплата закрывает меры только по погашенным услугам
DEBT-T-08 и EVT-T-09 пройдены"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-10-02 [2.10 Сквозная автоматика при оплате и обратная выгрузка] Обратная выгрузка в АИС «Расчет-ЖКУ» по CSV-шаблону [ТЗ 4.2.10.3]","Формирование файла сведений о мероприятиях/статусах: предупреждения, отключения/возобновления, статусы взыскания, подготовка списания — по согласованному шаблону; выкладка в каталог обмена по расписанию.

Пункт ТЗ: 4.2.10.3
Требования ТЗ: FR-INT-02, INT-T-02
Пакет работ: 2.10 Сквозная автоматика при оплате и обратная выгрузка
Фаза: Фаза 8. Интеграции — пункт чек-листа «Обратная выгрузка в АИС»
Макеты/артефакты:
- Совещания/замечания 17 июля кратко.docx
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Файл формируется по расписанию и валидируется по шаблону
Повторная выгрузка не дублирует события
INT-T-02 пройден"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-01-01 [3.1 Воронка взыскания: канбан и чек-листы этапов] Настраиваемый перечень этапов воронки и канбан-доска [ТЗ 4.2.4.6, 3]","Этапы: Новый должник → Автообзвон → Уведомление/Предупреждение → Отключение услуг → Подготовка пакета на ИН → Направлено нотариусу → ИН совершена / Отказ → Исковое заявление → Судебное решение → Направлено в ОПИ → Меры ОПИ → Взыскано / Невозможность взыскания → Подготовка списания; параллельная ветвь группы 4+ (выселение/отчуждение). Канбан по ЛС (основной) и по должнику, группировка по группам задолженности, сворачиваемая колонка уведомлений.

Пункт ТЗ: 4.2.4.6, 3
Пакет работ: 3.1 Воронка взыскания: канбан и чек-листы этапов
Фаза: Фаза 4. Взыскание — пункт чек-листа «Канбан воронки»
Макеты/артефакты:
- UI макеты/01_Канбан-доска по группе (Группа 2).png
- UI макеты/06_Канбан-доска — все группы.png
- UI макеты/07_Канбан-доска — все группы, все статусы.png
- canvases/cases-kanban.canvas.tsx
- Совещания/20 июля замечания.pdf","Все этапы ТЗ отображаются колонками, перечень настраивается
Фильтр «группа 2» и группировка по группам работают (слайды 4–5)
Карточки двигаются как вручную (drag&drop), так и сценарием"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-01-02 [3.1 Воронка взыскания: канбан и чек-листы этапов] Чек-листы этапов и блокировка переходов [ТЗ 4.2.4.6]","Для каждого этапа — перечень обязательных условий/документов; переход блокируется с подсветкой недостающего (например, «Направлено нотариусу» без даты вручения предупреждения/уведомления и нотариального тарифа). Пункты чек-листа отображают статусы действий, а не отдельные чекбоксы (замечания 20 июля).

Пункт ТЗ: 4.2.4.6
Требования ТЗ: FR-CLM-02, FR-DEBT-05, UC-CLM-01, UC-DEBT-04, CLM-T-02
Пакет работ: 3.1 Воронка взыскания: канбан и чек-листы этапов
Фаза: Фаза 4. Взыскание — пункт чек-листа «Чек-листы этапов»
Макеты/артефакты:
- UI макеты/01_Канбан-доска по группе (Группа 2).png
- UI макеты/14_Добавление исполнительной надписи.png
- Совещания/20 июля замечания.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","UC-CLM-01: переход без тарифа заблокирован, поле подсвечено
Чек-лист настраивается для этапа без кода
CLM-T-02 пройден"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-01-03 [3.1 Воронка взыскания: канбан и чек-листы этапов] Пропуск этапов, нелинейные и параллельные переходы [ТЗ 4.2.4.1, 4.2.4.6]","Пропуск неприменимого этапа с обязательной причиной (смерть без наследников → сразу иск); разрешённые нелинейные переходы (предупреждение → иск, минуя отключение); параллельные ветки (ОПИ и отключение), последовательность там, где требует закон (предупреждение перед ИН и отключением). Правила задаёт локальный администратор в конструкторе сценариев.

Пункт ТЗ: 4.2.4.1, 4.2.4.6
Пакет работ: 3.1 Воронка взыскания: канбан и чек-листы этапов
Фаза: Фаза 4. Взыскание — пункт чек-листа «Пропуск этапов»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf
- canvases/cases-kanban.canvas.tsx","Пропуск без причины невозможно сохранить
Запрещённый переход блокируется, разрешённый нелинейный — проходит
Карточка может одновременно находиться в параллельных ветках"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-01-04 [3.1 Воронка взыскания: канбан и чек-листы этапов] Аудит переходов по воронке [ТЗ 4.2.4.6, 4.2.4.10]","Каждый переход фиксирует пользователя, время, состояние чек-листа, причину пропуска; ответственность за содержательную полноту — на выполнившем переход.

Пункт ТЗ: 4.2.4.6, 4.2.4.10
Пакет работ: 3.1 Воронка взыскания: канбан и чек-листы этапов
Фаза: Фаза 4. Взыскание — пункт чек-листа «Аудит переходов»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","История переходов видна в карточке дела
Запись аудита неизменяема
Отчёт по переходам доступен администратору"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-01-05 [3.1 Воронка взыскания: канбан и чек-листы этапов] Представления реестра дел: список и календарь контрольных дат [ТЗ 4.2.1.1, 4.2.4]","Список дел ЮС по всем группам (слайд «Реестр дел — список») и календарь мероприятий/дедлайнов (истечение срока предупреждения, подача иска) с цветом группы.

Пункт ТЗ: 4.2.1.1, 4.2.4
Пакет работ: 3.1 Воронка взыскания: канбан и чек-листы этапов
Фаза: Фаза 4. Взыскание — пункт чек-листа «Реестр дел ЮС»
Макеты/артефакты:
- UI макеты/08_Реестр дел — список (все группы).png
- UI макеты/09_Календарь мероприятий (все группы).png
- Совещания/замечания 17 июля кратко.docx","Списочное представление содержит этап, группу, ответственного, ближайший дедлайн
Календарь показывает события по дням с цветом группы
Переход из календаря в карточку дела работает"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-02-01 [3.2 Справочники для претензионно-исковой работы] Справочник судебных органов [ТЗ 4.2.8.2]","Суды общей юрисдикции: наименование, адрес, территориальная подсудность; ведение централизованно, запрос на добавление от организации.

Пункт ТЗ: 4.2.8.2
Пакет работ: 3.2 Справочники для претензионно-исковой работы
Фаза: Фаза 0. Фундамент — пункт чек-листа «Справочник судов»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Сиды судов загружены
Организация может отправить запрос на добавление суда
Суд выбирается в форме иска"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-02-02 [3.2 Справочники для претензионно-исковой работы] Справочники нотариусов/нотариальных контор и ОПИ [ТЗ 4.2.8.3, 4.2.8.4]","Нотариусы и конторы, территориальные подразделения ОПИ с реквизитами; ведение локально на схемах (допускается локальное дополнение); в UI — справочник организаций с категорией.

Пункт ТЗ: 4.2.8.3, 4.2.8.4
Пакет работ: 3.2 Справочники для претензионно-исковой работы
Фаза: Фаза 0. Фундамент — пункт чек-листа «Нотариусы и ОПИ»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Совещания/20 июля замечания.pdf","Локальная запись видна только своей схеме
Нотариус и ОПИ выбираются в карточках ИН и ОПИ
Записи деактивируются, а не удаляются"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-02-03 [3.2 Справочники для претензионно-исковой работы] Причины отказа нотариуса/суда (открытый список) [ТЗ 4.2.4.2, 4.2.8.7]","Типовые значения (спор о праве, отсутствие солидарной ответственности по госфонду, смерть нанимателя и др.) + свободный ввод; не жёсткий классификатор.

Пункт ТЗ: 4.2.4.2, 4.2.8.7
Пакет работ: 3.2 Справочники для претензионно-исковой работы
Фаза: Фаза 0. Фундамент — пункт чек-листа «Причины отказа»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","Можно выбрать типовую причину или ввести свою
Причины доступны в отчётах
Локальное дополнение списка работает"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-03-01 [3.3 Исполнительная надпись (ручной контур)] Загрузка сущностей исполнительной надписи из АИС и карточка ИН [ТЗ 4.2.4.2]","Сущность ИН создаётся в АИС и загружается ежедневно; карточка ИН: должник, период, услуги, суммы долга/пени (из АИС, без пересчёта), нотариальный тариф (рассчитан в АИС по ПСМ № 46), ID договора услуги возмещения тарифа, нотариус, статус, «Заявление отозвано» (тариф = 0).

Пункт ТЗ: 4.2.4.2
Пакет работ: 3.3 Исполнительная надпись (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Карточка ИН»
Макеты/артефакты:
- UI макеты/14_Добавление исполнительной надписи.png
- Референсы программы _Расчет ЖКУ_/Форма добавления исполнительной надписи.jpg
- Референсы программы _Расчет ЖКУ_/Форма редактирования исполнительной надписи.jpg
- Нормативка (законы)/Постановление СМ РБ от 27.01.2026 №46 Об оплате нотариальных действий.RTF","Поля карточки соответствуют форме АИС
Суммы и тариф отображаются из АИС без правки в ПМ
Признак «Заявление отозвано» обнуляет тариф в отображении"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-03-02 [3.3 Исполнительная надпись (ручной контур)] Пакет документов на исполнительную надпись [ТЗ 4.2.4.2]","Заявление по шаблону конструктора, расчёт задолженности (загружается пользователем из АИС), доверенность, иные сканы; формальный контроль комплектности чек-листом; подготовка файлов в форматах .pdf.sgn/.pdf.p7s не более 15 МБ для ЛК БНП.

Пункт ТЗ: 4.2.4.2
Требования ТЗ: FR-CLM-01, CLM-T-01
Пакет работ: 3.3 Исполнительная надпись (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Пакет на ИН»
Макеты/артефакты:
- UI макеты/14_Добавление исполнительной надписи.png
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Расчёт задолженности r99117.pdf
- Other/Белорусская нотариальная палата - Совершение исполнительных надписей в виде электронного документа и предъявление их в органы пр.doc
- Нормативка (законы)/Закон Республики Беларусь от 18.07.2004 N 305-З (ред. от 09.12.2025) О нотариате и нотариальной деятельности.RTF
- Нормативка (законы)/Постановление Минюста РБ от 23.10.2006 N 63 (ред. от 06.03.2026) Об утверждении инструкции о совершении нотар.действий.RTF","Пакет собирается из шаблона и вложений
Файл больше 15 МБ или в недопустимом формате отклоняется с сообщением
CLM-T-01 пройден"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-03-03 [3.3 Исполнительная надпись (ручной контур)] Контроль пересечения периодов и услуг в исполнительных надписях [ТЗ 4.2.4.2 (замечание Заказчика)]","Запрет нескольких ИН по одному ЛС за один период с пересекающимся набором услуг; блокировка параллельного создания одинаковых сущностей разными пользователями.

Пункт ТЗ: 4.2.4.2 (замечание Заказчика)
Пакет работ: 3.3 Исполнительная надпись (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Пересечение ИН»
Макеты/артефакты:
- UI макеты/14_Добавление исполнительной надписи.png","Попытка создать пересекающуюся ИН блокируется с указанием конфликтующей
Одновременное создание двумя юристами приводит к одной сущности
Проверка покрыта автотестом"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-03-04 [3.3 Исполнительная надпись (ручной контур)] Статусы ИН: направлено нотариусу, совершена, отказ [ТЗ 4.2.4.2]","Ручной режим: юрист отправил пакет через ЛК БНП/СМДО и отметил «Направлено нотариусу» с подтверждением; результат — совершена (загрузка исполнительного документа) или отказ (скан постановления, причина, дата, нотариус) → доступен переход к иску; возврат на доработку пакета.

Пункт ТЗ: 4.2.4.2
Требования ТЗ: FR-CLM-03, FR-CLM-04, UC-CLM-04, CLM-T-03, CLM-T-04
Пакет работ: 3.3 Исполнительная надпись (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Статусы ИН»
Макеты/артефакты:
- UI макеты/14_Добавление исполнительной надписи.png
- Референсы программы _Расчет ЖКУ_/Форма редактирования исполнительной надписи.jpg
- Совещания/замечания 17 июля кратко.docx","UC-CLM-04: отказ → загрузка скана → этап «Исковое заявление»
Ручная загрузка сканов отказа обязательна к поддержке
CLM-T-03 (ручной режим) и CLM-T-04 пройдены"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-03-05 [3.3 Исполнительная надпись (ручной контур)] Контроль полноты взыскания и закрытие ИН [ТЗ 4.2.4.5]","Остаток по ИН = основной долг + пеня + нотариальный тариф (данные из АИС); перевод в «Взыскано» только при полном погашении; тариф не смешивается с обычными начислениями.

Пункт ТЗ: 4.2.4.5
Пакет работ: 3.3 Исполнительная надпись (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Закрытие ИН»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Референсы программы _Расчет ЖКУ_/Оплата по документу на взыскание.jpg
- Референсы программы _Расчет ЖКУ_/Оплата по документу на взыскание2.jpg
- Референсы программы _Расчет ЖКУ_/Оплата по документу на взыскание3.jpg","Закрыть ИН с непогашенным тарифом невозможно
Остаток тарифа виден отдельно
Данные о поступлении тарифа берутся из АИС"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-04-01 [3.4 Исковые заявления (ручной контур)] Карточка искового заявления пяти видов [ТЗ 4.2.4.3]","Виды: взыскание задолженности; выселение по ст. 80, 86, 87 ЖК; понуждение к отчуждению по ст. 137 ЖК. Поля: номер, ЛС, ответчик(и), вид, суд, дата подачи, госпошлина (ввод вручную), дата вручения предупреждения, дата подачи пакета документов (для выселения), связь с ИН, примечание, вложения.

Пункт ТЗ: 4.2.4.3
Пакет работ: 3.4 Исковые заявления (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Карточка иска»
Макеты/артефакты:
- Референсы программы _Расчет ЖКУ_/Форма добавления искового заявления на взыскание задолженности.jpg
- Референсы программы _Расчет ЖКУ_/Форма на добавление искового заявления на выселение.jpg
- Референсы программы _Расчет ЖКУ_/Форма редактирования искового заявления на взыскание задолженности.jpg
- Референсы программы _Расчет ЖКУ_/Форма редактирования искового заявления на выселение.jpg","Для выселения доступно поле «Дата подачи пакета документов»
Госпошлина не рассчитывается, вводится вручную
Поля соответствуют формам АИС"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-04-02 [3.4 Исковые заявления (ручной контур)] Формирование пакета искового заявления по шаблону [ТЗ 4.2.4.3]","Черновик иска из шаблона конструктора с данными карточки или ручное прикрепление; уведомления по ст. 80/87, 86, 137 ЖК как предшествующие документы.

Пункт ТЗ: 4.2.4.3
Требования ТЗ: FR-CLM-05, CLM-T-05
Пакет работ: 3.4 Исковые заявления (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Пакет иска»
Макеты/артефакты:
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Уведомление о задолженности (ст. 80, 87 ЖК) r99188.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Уведомление о задолженности (ст. 137 ЖК) r99189.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Уведомление о задолженности (ст. 86 ЖК) r99190.pdf","Черновик иска формируется для каждого вида
Можно приложить собственный файл вместо шаблона
CLM-T-05 пройден"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-04-03 [3.4 Исковые заявления (ручной контур)] Статусы судебного рассмотрения и исполнительный лист [ТЗ 4.2.4.3]","Подготовка → подано → на рассмотрении → удовлетворено / отказано → исполнительный лист получен; прикрепление решения/приказа/листа; переход к «Направлено в ОПИ».

Пункт ТЗ: 4.2.4.3
Требования ТЗ: FR-CLM-06, CLM-T-06
Пакет работ: 3.4 Исковые заявления (ручной контур)
Фаза: Фаза 4. Взыскание — пункт чек-листа «Судебные статусы»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Статусы меняются вручную с датами
Без прикреплённого решения этап «Судебное решение получено» недоступен
CLM-T-06 пройден"
